observedRate,empirical p-value,theoretical p-value
0.07,0.838057,0.841344746068543
0.08,0.722584,0.747507462453077
0.11,0.327973,0.369441340181764
0.11,0.327564,0.369441340181764
0.09,0.588198,0.630558659818236
0.1,0.452033,0.5
0.11,0.328057,0.369441340181764
0.04,0.993182,0.977249868051821
0.14,0.092511,0.0912112197258679
0.1,0.451864,0.5
0.11,0.327673,0.369441340181764
0.08,0.721476,0.747507462453077
0.17,0.017494,0.00981532862864531
0.09,0.587285,0.630558659818236
0.08,0.721974,0.747507462453077
0.11,0.328616,0.369441340181764
0.1,0.451101,0.5
0.06,0.922083,0.908788780274132
0.08,0.721771,0.747507462453077
0.14,0.092173,0.0912112197258679
0.1,0.452165,0.5
0.11,0.328434,0.369441340181764
0.07,0.838303,0.841344746068543
0.15,0.055105,0.0477903522728148
0.12,0.225943,0.252492537546923
0.11,0.32832,0.369441340181764
0.14,0.092569,0.0912112197258679
0.14,0.092271,0.0912112197258679
0.13,0.14716,0.158655253931457
0.1,0.451076,0.5
0.1,0.451582,0.5
0.05,0.971604,0.952209647727185
0.13,0.147642,0.158655253931457
0.16,0.031525,0.0227501319481792
0.05,0.971683,0.952209647727185
0.19,0.004666,0.0013498980316301
0.07,0.838324,0.841344746068543
0.15,0.055064,0.0477903522728148
0.08,0.722523,0.747507462453077
0.11,0.328138,0.369441340181764
0.08,0.72136,0.747507462453077
0.11,0.328361,0.369441340181764
0.05,0.971788,0.952209647727185
0.09,0.588279,0.630558659818236
0.09,0.586365,0.630558659818236
0.14,0.092529,0.0912112197258679
0.09,0.586811,0.630558659818236
0.07,0.837429,0.841344746068543
0.1,0.451521,0.5
0.1,0.451156,0.5
0.08,0.721485,0.747507462453077
0.15,0.05512,0.0477903522728148
0.12,0.225302,0.252492537546923
0.14,0.09193,0.0912112197258679
0.15,0.0552,0.0477903522728148
0.09,0.587033,0.630558659818236
0.15,0.055275,0.0477903522728148
0.03,0.999139,0.990184671371355
0.17,0.017256,0.00981532862864531
0.14,0.092159,0.0912112197258679
0.13,0.147371,0.158655253931457
0.1,0.451221,0.5
0.12,0.225733,0.252492537546923
0.09,0.588203,0.630558659818236
0.11,0.327406,0.369441340181764
0.08,0.721653,0.747507462453077
0.11,0.32821,0.369441340181764
0.1,0.451137,0.5
0.15,0.055274,0.0477903522728148
0.04,0.993278,0.977249868051821
0.1,0.450908,0.5
0.12,0.225982,0.252492537546923
0.07,0.837902,0.841344746068543
0.12,0.224839,0.252492537546923
0.1,0.451068,0.5
